861-0136,熊本市北区植木町岩野１３７５,,,株式会社 九建　（植木）,149,1,2024 年 08 月 31 日,
,,【準用河川旧天明新川改修工事（裏田,,,,橋架替）】,,,,,
8/ 9,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,251,24  -8   -20 -BB,4.00,19700,78800, ,
8/23,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,737,21  -8   -40 -BB,1.80,19300,34740, ,
8/23,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,204,試験一式,1.00,8000,8000, ,
8/23,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,224,外部試験代行(圧縮),1.00,8000,8000, ,
8/23,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,321,塩分試験一式,1.00,2000,2000, ,
8/26,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,237,21  -8   -20 -BB,0.60,18300,10980, 工場渡し,
8/27,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,237,21  -8   -20 -BB,2.75,19300,53075, ,
8/28,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,253,24  -12  -20 -BB,3.00,19700,59100, ,
8/28,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,204,試験一式,1.00,8000,8000, ,
8/28,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,321,塩分試験一式,1.00,2000,2000, ,
8/28,5887,準用河川旧天明新川改修工事（裏田橋架替）,149,,326,単位水量ｴｱﾒｰﾀ,1.00,5000,5000, ,
,,,,,,【現場計】,12.15,,269695,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,251470,25147,276617,,,,,,
861-0136,熊本市北区植木町岩野１３７５,,,株式会社 九建　（植木）,149,2,2024 年 08 月 31 日,
,,【準用河川旧天明新川改修工事（裏田,,,,橋架替）】,,,,,
,,,,,,道路維持管理費,,,-18225,8月分,
,,,,,,【合計】,,,-18225,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
861-0136,熊本市北区植木町岩野１３７５,,,株式会社 九建　（植木）,149,3,2024 年 08 月 31 日,
,,【植木1工区舗装補修工事】,,,,,,,,,
8/ 9,1012099,植木1工区舗装補修工事,149,,237,21  -8   -20 -BB,0.50,21300,10650, 工場渡し,
,,,,,,【現場計】,0.50,,10650,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,9900,990,10890,,,,,,
861-0136,熊本市北区植木町岩野１３７５,,,株式会社 九建　（植木）,149,4,2024 年 08 月 31 日,
,,【植木1工区舗装補修工事】,,,,,,,,,
,,,,,,道路維持管理費,,,-750,8月分,
,,,,,,【合計】,,,-750,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
869-1112,菊池郡菊陽町武蔵ヶ丘北３丁目１６番１５号,,,株式会社 北川産業,144,1,2024 年 08 月 31 日,
8/ 3,1013655,下大谷2号線バス停車帯整備工事,144,,225,18  -12  -20 -BB,0.50,21800,10900, ,
8/ 3,1013655,下大谷2号線バス停車帯整備工事,144,,0,空積料,1台,2500,2500, ,
8/ 5,1013655,下大谷2号線バス停車帯整備工事,144,,225,18  -12  -20 -BB,0.50,21800,10900, ,
8/ 5,1013655,下大谷2号線バス停車帯整備工事,144,,0,空積料,1台,2500,2500, ,
8/ 8,9012596,下大谷2号線バス停車帯整備工事,144,,225,18  -12  -20 -BB,0.70,21800,15260, ,
8/ 8,9012596,下大谷2号線バス停車帯整備工事,144,,0,空積料,1台,2500,2500, ,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,【合　計】,1.70,,44560,
480166,480166,0,42010,4201,46211,46211,440,479726
869-1112,菊池郡菊陽町武蔵ヶ丘北３丁目１６番１５号,,,株式会社 北川産業,144,2,2024 年 08 月 31 日,
,,,,,,道路維持管理費,,,-2550,8月分,
,,,,,,【現場計】,,,-2550,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
